Country,decade,total
JORDAN,1990s,6410.0
JORDAN,2000s,17087.0
JORDAN,2010s,15481.0
JORDAN,2020s,846.0
KAZAKHSTAN,1990s,1842.0
KAZAKHSTAN,2000s,32691.0
KAZAKHSTAN,2010s,42781.0
KUWAIT,1990s,5499.0
KUWAIT,2000s,15680.0
KYRGYZSTAN,1990s,120.0
KYRGYZSTAN,2000s,1721.0
LATVIA,2000s,1573.0
LATVIA,2010s,14223.0
LATVIA,2020s,512.0
LIBYA,1990s,1627.0
LITHUANIA,1990s,14498.0
LITHUANIA,2000s,22236.0
LITHUANIA,2010s,19316.0
LITHUANIA,2020s,830.0
LUXEMBOURG,1990s,2260.0
LUXEMBOURG,2000s,10996.0
LUXEMBOURG,2010s,20053.0
LUXEMBOURG,2020s,1814.0
MADAGASCAR,1990s,39.0
MALAWI,2010s,120.0
MALDIVES,1990s,176.0
MALDIVES,2000s,607.0
MALTA,1990s,849.0
MALTA,2000s,2200.0
MALTA,2010s,4757.0
MALTA,2020s,303.0
MAURITIUS,1990s,656.0
MAURITIUS,2000s,1831.0
MAURITIUS,2010s,2585.0
MAURITIUS,2020s,42.0
MEXICO,1990s,46350.0
MEXICO,2000s,129835.0
MEXICO,2010s,184682.0
MEXICO,2020s,11544.0
MOLDOVA REPUBLIC OF,1990s,225.0
MOLDOVA REPUBLIC OF,2000s,634.0
MOLDOVA REPUBLIC OF,2010s,1921.0
MOLDOVA REPUBLIC OF,2020s,217.0
MOROCCO,1990s,6552.0
MOROCCO,2000s,20722.0
MOROCCO,2010s,21122.0
MOROCCO,2020s,869.0
NEPAL,1990s,598.0
NEPAL,2000s,3544.0
NEPAL,2010s,4581.0
NETHERLANDS,1990s,65715.0
NETHERLANDS,2000s,166380.0
NETHERLANDS,2010s,198721.0
NETHERLANDS,2020s,11601.0
NEW CALEDONIA,1990s,323.0
NEW CALEDONIA,2000s,909.0
NEW CALEDONIA,2010s,1417.0
NEW CALEDONIA,2020s,20.0
NEW ZEALAND,1990s,5496.0
NEW ZEALAND,2000s,16566.0
NEW ZEALAND,2010s,25417.0
NEW ZEALAND,2020s,234.0
NICARAGUA,1990s,1741.0
NICARAGUA,2000s,7042.0
NICARAGUA,2010s,9888.0
NICARAGUA,2020s,372.0
NIGER,1990s,40.0
NIUE,1990s,0.5
NIUE,2000s,14.700000000000001
NIUE,2010s,2.6
NIUE,2020s,1.0
NORWAY,1990s,4306.0
NORWAY,2000s,29356.0
NORWAY,2010s,87080.0
NORWAY,2020s,1860.0
OMAN,2000s,10236.0
OMAN,2010s,34818.0
OMAN,2020s,1311.0
PALAU,1990s,9.0
PANAMA,1990s,999.0
PANAMA,2000s,2687.0
PANAMA,2010s,8257.0
PAPUA NEW GUINEA,1990s,238.0
PAPUA NEW GUINEA,2000s,182.0
PARAGUAY,1990s,1813.0
PARAGUAY,2000s,2002.0
PARAGUAY,2010s,9171.0
PARAGUAY,2020s,366.0
PERU,1990s,2646.0
PERU,2000s,15507.0
PERU,2010s,26657.0
PERU,2020s,617.0
PHILIPPINES,1990s,9238.0
PHILIPPINES,2000s,23647.0
PHILIPPINES,2010s,14306.0
POLAND,2000s,34300.0
POLAND,2010s,109750.0
POLAND,2020s,6800.0
PORTUGAL,2010s,16648.0
PORTUGAL,2020s,1012.0
PUERTO RICO,1990s,6056.0
PUERTO RICO,2000s,13323.0
PUERTO RICO,2010s,8799.0
PUERTO RICO,2020s,486.0
SAMOA,1990s,58.0
SAMOA,2000s,526.0
SAMOA,2010s,538.0
SAMOA,2020s,5.0
SAO TOME AND PRINCIPE,2000s,18.9
SAUDI ARABIA,2000s,36459.0
SAUDI ARABIA,2010s,197529.0
SAUDI ARABIA,2020s,8415.0
SEYCHELLES,1990s,153.0
SEYCHELLES,2000s,496.0
SEYCHELLES,2010s,614.0
SEYCHELLES,2020s,27.0
SIERRA LEONE,1990s,26.0
SIERRA LEONE,2000s,447.0
SIERRA LEONE,2010s,1018.0
SIERRA LEONE,2020s,25.0
SINGAPORE,1990s,17559.0
SINGAPORE,2000s,53097.0
SINGAPORE,2010s,91813.0
SINGAPORE,2020s,833.0
SLOVENIA,2000s,23942.0
SLOVENIA,2010s,29553.0
SLOVENIA,2020s,2125.0
SPAIN,1990s,20165.0
SPAIN,2000s,76989.0
SPAIN,2010s,151837.0
SPAIN,2020s,7013.0
SRI LANKA,1990s,2544.0
SRI LANKA,2000s,7078.0
SRI LANKA,2010s,13668.0
SRI LANKA,2020s,309.0
SUDAN,1990s,195.0
SWEDEN,1990s,53257.0
SWEDEN,2000s,126293.0
SWEDEN,2010s,120599.0
SWEDEN,2020s,5767.0
SWITZERLAND,1990s,59430.0
SWITZERLAND,2000s,65595.0
SWITZERLAND,2010s,135118.0
SWITZERLAND,2020s,6296.0
SYRIAN ARAB REPUBLIC,1990s,11321.0
SYRIAN ARAB REPUBLIC,2000s,42230.0
SYRIAN ARAB REPUBLIC,2010s,6259.0
TAJIKISTAN,1990s,4.1
TAJIKISTAN,2000s,9.100000000000001
TAJIKISTAN,2010s,149.0
TANZANIA UNITED REPUBLIC OF,1990s,305.0
TANZANIA UNITED REPUBLIC OF,2020s,121.0
THAILAND,1990s,8392.0
THAILAND,2000s,30039.0
THAILAND,2010s,73356.0
TOGO,2010s,912.0
TRINIDAD AND TOBAGO,1990s,509.0
TRINIDAD AND TOBAGO,2000s,270.0
TRINIDAD AND TOBAGO,2010s,273.0
TUNISIA,1990s,7593.0
TUNISIA,2000s,22853.0
TUNISIA,2010s,20825.0
TUNISIA,2020s,1748.0
TURKMENISTAN,1990s,438.0
TURKMENISTAN,2000s,438.0
TUVALU,1990s,4.1
TUVALU,2000s,19.900000000000002
TUVALU,2010s,12.5
TUVALU,2020s,0.5
TÜRKIYE,1990s,22234.0
TÜRKIYE,2000s,60429.0
TÜRKIYE,2010s,79957.0
TÜRKIYE,2020s,2738.0
UGANDA,1990s,716.0
UGANDA,2000s,2272.0
UGANDA,2010s,4481.0
UGANDA,2020s,331.0
UKRAINE,1990s,37360.0
UKRAINE,2000s,154880.0
UKRAINE,2010s,246541.0
UKRAINE,2020s,14352.0
UNITED ARAB EMIRATES,2010s,97118.0
UNITED ARAB EMIRATES,2020s,7258.0
UNITED STATES OF AMERICA,1990s,270431.0
UNITED STATES OF AMERICA,2000s,613892.0
UNITED STATES OF AMERICA,2010s,778947.0
URUGUAY,1990s,1994.0
URUGUAY,2000s,6311.0
URUGUAY,2010s,18921.0
URUGUAY,2020s,93.0
VANUATU,1990s,57.0
VANUATU,2000s,143.0
VANUATU,2010s,264.0
VENEZUELA BOLIVARIAN REPUBLIC OF,1990s,3011.0
VENEZUELA BOLIVARIAN REPUBLIC OF,2000s,11384.0
VENEZUELA BOLIVARIAN REPUBLIC OF,2010s,12598.0
ZIMBABWE,1990s,992.0
ZIMBABWE,2000s,3670.0
ZIMBABWE,2010s,24100.0
ZIMBABWE,2020s,597.0
