Country or Area,Year(s),WEALTH QUINTILE,Value
Dominican Republic,2002,,37.6
Dominican Republic,2002,,30.9
Dominican Republic,2002,,32.6
Dominican Republic,2002,,37.5
Dominican Republic,2002,Q1 (Poorest),49.9
Dominican Republic,2002,Q2,36.8
Dominican Republic,2002,Q3,35.4
Dominican Republic,2002,Q4,23.6
Dominican Republic,2002,Q5 (Richest),20.1
Dominican Republic,2002,,51.4
Dominican Republic,2002,,38.9
Dominican Republic,2002,,26.3
Dominican Republic,1999,,35.7
Dominican Republic,1999,,38.8
Dominican Republic,1999,,38.6
Dominican Republic,1999,,35.2
Dominican Republic,1999,Q1 (Poorest),65.1
Dominican Republic,1999,Q2,38
Dominican Republic,1999,Q3,45.3
Dominican Republic,1999,,51.1
Dominican Republic,1999,,18.1
Dominican Republic,1996,,85.4
Dominican Republic,1996,,53.7
Dominican Republic,1996,,29.4
Dominican Republic,1996,Q1 (Poorest),66.3
Dominican Republic,1996,Q2,55
Dominican Republic,1996,Q3,52.2
Dominican Republic,1996,Q4,33.6
Dominican Republic,1996,Q5 (Richest),23.5
Dominican Republic,1996,,45.9
Dominican Republic,1996,,52.5
Dominican Republic,1996,,50.9
Dominican Republic,1996,,46.2
Egypt,2008,,33.5
Egypt,2008,,23.3
Egypt,2008,Q1 (Poorest),41.8
Egypt,2008,Q2,30.5
Egypt,2008,Q3,26.3
Egypt,2008,Q4,24.8
Egypt,2008,Q5 (Richest),16.7
Egypt,2008,,25.5
Egypt,2008,,30.4
Egypt,2008,,37.5
Egypt,2008,,32.6
Egypt,2008,,22.9
Egypt,2005,,31.6
Egypt,2005,,45
Egypt,2005,,43.1
Egypt,2005,,36.9
Egypt,2005,,51.8
Egypt,2005,,52
Egypt,2005,,28.4
Egypt,2005,Q1 (Poorest),59.1
Egypt,2005,Q2,42.8
Egypt,2005,Q3,38.7
Egypt,2005,Q4,32.4
Egypt,2005,Q5 (Richest),22.9
Egypt,2000,,43
Egypt,2000,,61.7
Egypt,2000,,68.3
Egypt,2000,,59.1
Egypt,2000,,35.8
Egypt,2000,,55.1
Egypt,2000,,54.2
Egypt,2000,Q1 (Poorest),75.9
Egypt,2000,Q2,64.1
Egypt,2000,Q3,53.9
Egypt,2000,Q4,43.1
Egypt,2000,Q5 (Richest),29.4
Egypt,1995,,50.9
Egypt,1995,,86.8
Egypt,1995,,72.3
Egypt,1995,,73.4
Egypt,1995,,93.4
Egypt,1995,,70
Egypt,1995,,37.4
Egypt,1995,Q1 (Poorest),109.8
Egypt,1995,Q2,88.9
Egypt,1995,Q3,64.7
Egypt,1995,Q4,50.1
Egypt,1995,Q5 (Richest),31.3
Ethiopia,2011,,84.2
Ethiopia,2011,,62.6
Ethiopia,2011,,59.7
Ethiopia,2011,,75.8
Ethiopia,2011,Q1 (Poorest),91.2
Ethiopia,2011,Q2,83.9
Ethiopia,2011,Q3,60.5
Ethiopia,2011,Q4,65.9
Ethiopia,2011,Q5 (Richest),60
Ethiopia,2011,,80.6
Ethiopia,2011,,58.2
Ethiopia,2011,,33.6
Ethiopia,2005,Q1 (Poorest),79.1
Ethiopia,2005,Q2,86.2
Ethiopia,2005,Q3,86
Ethiopia,2005,Q4,84.4
Ethiopia,2005,Q5 (Richest),60
Ethiopia,2005,,82.6
Ethiopia,2005,,78.7
Ethiopia,2005,,37.4
Ethiopia,2005,,90.7
Ethiopia,2005,,69.3
Ethiopia,2005,,65.9
Ethiopia,2005,,81.4
Ethiopia,2000,,118.9
Ethiopia,2000,,85.1
Ethiopia,2000,,64
Ethiopia,2000,,96.2
Ethiopia,2000,,114.7
Ethiopia,2000,Q1 (Poorest),93
Ethiopia,2000,Q2,114.7
Ethiopia,2000,Q3,141.5
Ethiopia,2000,Q4,117.6
Ethiopia,2000,Q5 (Richest),94.8
Ethiopia,2000,,124
Ethiopia,2000,,100.8
Gabon,2000,,74.2
Gabon,2000,,48.7
Gabon,2000,Q1 (Poorest),57.2
Gabon,2000,Q2,69
Gabon,2000,Q3,66.7
Gabon,2000,Q4,72.2
Gabon,2000,Q5 (Richest),36.2
Gabon,2000,,60.9
Gabon,2000,,62.4
Gabon,2000,,65.5
Gabon,2000,,59.2
Gabon,2000,,62.5
Ghana,2008,,61.6
Ghana,2008,,54.8
Ghana,2008,,46.7
Ghana,2008,,48.6
Ghana,2008,,56.8
Ghana,2008,Q1 (Poorest),59.7
Ghana,2008,Q2,45
Ghana,2008,Q3,70.5
Ghana,2008,Q4,44.3
Ghana,2008,Q5 (Richest),46.3
Ghana,2008,,58.2
Ghana,2008,,49.1
Ghana,2003,,66.1
Ghana,2003,,76.2
Ghana,2003,,55.5
Ghana,2003,,69.9
Ghana,2003,,58.8
Ghana,2003,,54.6
Ghana,2003,,69.5
Ghana,2003,Q1 (Poorest),61.1
Ghana,2003,Q2,64
Ghana,2003,Q3,73.6
Ghana,2003,Q4,66.1
Ghana,2003,Q5 (Richest),56.8
Ghana,1998,,66.5
Ghana,1998,,71
Ghana,1998,,50.8
Ghana,1998,,64.5
Ghana,1998,,58
Ghana,1998,,42.3
Ghana,1998,,67.7
Ghana,1998,Q1 (Poorest),71.3
Ghana,1998,Q2,63.1
Ghana,1998,Q3,80.7
Ghana,1998,Q4,54.4
Ghana,1998,Q5 (Richest),21.3
Ghana,1993,,87.1
Ghana,1993,,66.7
Ghana,1993,,44.9
Ghana,1993,Q1 (Poorest),77.5
Ghana,1993,Q2,94.6
Ghana,1993,Q3,82.8
Ghana,1993,Q4,64.2
Ghana,1993,Q5 (Richest),45.8
Ghana,1993,,54.9
Ghana,1993,,82.2
Ghana,1993,,79.2
Ghana,1993,,70.1
Guatemala,1998,Q1 (Poorest),58.1
Guatemala,1998,Q2,50.8
Guatemala,1998,Q3,52.1
Guatemala,1998,Q4,39.9
Guatemala,1998,Q5 (Richest),39.5
Guatemala,1998,,49.1
Guatemala,1998,,49.3
Guatemala,1998,,50
Guatemala,1998,,48.4
Guatemala,1998,,55.9
Guatemala,1998,,46.6
Guatemala,1998,,41.4
Guatemala,1995,,45
Guatemala,1995,,62.9
Guatemala,1995,Q1 (Poorest),57
Guatemala,1995,Q2,79.2
Guatemala,1995,Q3,55.4
Guatemala,1995,Q4,46.7
Guatemala,1995,Q5 (Richest),35.3
Guatemala,1995,,69.6
Guatemala,1995,,53.6
Guatemala,1995,,25.9
Guatemala,1995,,62.4
Guatemala,1995,,51.6
Guinea,2005,,82.1
Guinea,2005,,117.8
Guinea,2005,,121.9
Guinea,2005,,96.8
Guinea,2005,,112.8
Guinea,2005,,101.1
Guinea,2005,,66.1
Guinea,2005,Q1 (Poorest),126.3
Guinea,2005,Q2,122.5
Guinea,2005,Q3,114.3
Guinea,2005,Q4,101
Guinea,2005,Q5 (Richest),68.2
Guinea,1999,,79.2
Guinea,1999,,115.9
Guinea,1999,,112.3
Guinea,1999,,100.8
Guinea,1999,Q1 (Poorest),119.2
Guinea,1999,Q2,128
Guinea,1999,Q3,113.6
Guinea,1999,Q4,91.3
Guinea,1999,Q5 (Richest),70.4
Guinea,1999,,112.2
Guinea,1999,,78.4
Guinea,1999,,60
Guyana,2009,,45.5
Guyana,2009,,32
Guyana,2009,,41.7
Guyana,2009,,32.2
Guyana,2009,,36.1
Guyana,2009,,34.1
Guyana,2009,Q1 (Poorest),25.3
Guyana,2009,Q2,36.6
Guyana,2009,Q3,34
Guyana,2009,Q4,42.5
Guyana,2009,Q5 (Richest),44.4
Haiti,2005,Q1 (Poorest),78.7
Haiti,2005,Q2,76.4
Haiti,2005,Q3,79.6
Haiti,2005,Q4,58.3
Haiti,2005,Q5 (Richest),44.8
Haiti,2005,,85.5
Haiti,2005,,62
Haiti,2005,,52.7
Haiti,2005,,75.1
Haiti,2005,,64.8
Haiti,2005,,57.4
Haiti,2005,,76.1
Haiti,2000,,87.5
Haiti,2000,,90.3
Haiti,2000,,91
Haiti,2000,,97.5
Haiti,2000,,56.2
Haiti,2000,,96.3
Haiti,2000,,82.9
Haiti,2000,Q1 (Poorest),99.6
Haiti,2000,Q2,69.3
Haiti,2000,Q3,93.1
Haiti,2000,Q4,88.6
Haiti,2000,Q5 (Richest),98.7
Haiti,1994,,83.4
Haiti,1994,,88.8
Haiti,1994,,95.4
Haiti,1994,,78.1
Haiti,1994,,75.9
Haiti,1994,,97.6
Haiti,1994,,76.3
Haiti,1994,Q1 (Poorest),93.6
Haiti,1994,Q2,93.5
Haiti,1994,Q3,86.1
Haiti,1994,Q4,81.7
Haiti,1994,Q5 (Richest),73.8
Honduras,2005,,23.6
Honduras,2005,,32.6
Honduras,2005,,31.5
Honduras,2005,,25.8
Honduras,2005,,36.7
Honduras,2005,,31.1
Honduras,2005,,16.7
Honduras,2005,Q1 (Poorest),37
Honduras,2005,Q2,35.8
Honduras,2005,Q3,27.3
Honduras,2005,Q4,19.6
Honduras,2005,Q5 (Richest),18.7
India,2005,Q1 (Poorest),82
India,2005,Q2,73.4
India,2005,Q3,66
India,2005,Q4,51.2
India,2005,Q5 (Richest),34.2
India,2005,,77.8
India,2005,,63.8
India,2005,,42.4
India,2005,,65.9
India,2005,,63.9
India,2005,,48.4
India,2005,,70.6
India,1998,,87
India,1998,,67.2
India,1998,,42
India,1998,,74.8
India,1998,,71.1
India,1998,,49.3
India,1998,,79.7
India,1998,Q1 (Poorest),96.4
India,1998,Q2,80.7
India,1998,Q3,76.4
India,1998,Q4,55.4
India,1998,Q5 (Richest),38.1
Indonesia,2007,,30.7
Indonesia,2007,,44.7
Indonesia,2007,,42.6
Indonesia,2007,,35
Indonesia,2007,,72.1
Indonesia,2007,,46.4
Indonesia,2007,,28.8
Indonesia,2007,Q1 (Poorest),55.7
Indonesia,2007,Q2,47.1
Indonesia,2007,Q3,32.5
Indonesia,2007,Q4,29
Indonesia,2007,Q5 (Richest),25.8
Indonesia,2002,Q1 (Poorest),60.4
Indonesia,2002,Q2,50.2
Indonesia,2002,Q3,44.2
Indonesia,2002,Q4,36.4
Indonesia,2002,Q5 (Richest),17
Indonesia,2002,,32
Indonesia,2002,,52.2
Indonesia,2002,,45.6
Indonesia,2002,,40
Indonesia,2002,,67.4
Indonesia,2002,,50.6
Indonesia,2002,,29.1
Indonesia,1997,,36
Indonesia,1997,,57.8
Indonesia,1997,,77.8
Indonesia,1997,,58.5
Indonesia,1997,,28.2
Indonesia,1997,,58.9
Indonesia,1997,,44.9
Indonesia,1997,Q1 (Poorest),78.2
Indonesia,1997,Q2,57.2
Indonesia,1997,Q3,50.6
Indonesia,1997,Q4,39.6
Indonesia,1997,Q5 (Richest),23.5
Indonesia,1994,,73.4
Indonesia,1994,,58.7
Indonesia,1994,,90.2
Indonesia,1994,,70.3
Indonesia,1994,,39.8
Indonesia,1994,,42.8
Indonesia,1994,,75.1
Jordan,2007,,19.8
Jordan,2007,,20.5
Jordan,2007,,19.7
Jordan,2007,,22.5
Jordan,2007,Q1 (Poorest),25
Jordan,2007,Q2,21
Jordan,2007,Q3,12.7
Jordan,2007,Q4,17.4
Jordan,2007,Q5 (Richest),25.1
Jordan,2007,,22.7
Jordan,2007,,28.7
Jordan,2007,,19.4
Jordan,2002,,25.4
Jordan,2002,,23.6
Jordan,2002,,22.8
Jordan,2002,,30.3
Jordan,2002,Q1 (Poorest),28.9
Jordan,2002,Q2,26.4
Jordan,2002,Q3,24.6
Jordan,2002,Q4,20.6
Jordan,2002,Q5 (Richest),18.6
Jordan,1997,Q1 (Poorest),35.6
Jordan,1997,Q2,28
Jordan,1997,Q3,30.1
Jordan,1997,Q4,26.1
Jordan,1997,Q5 (Richest),23.3
Jordan,1997,,34.3
Jordan,1997,,23.3
Jordan,1997,,54.8
Jordan,1997,,31.5
Jordan,1997,,25.4
Jordan,1997,,26.7
Jordan,1997,,38.6
Kazakhstan,1999,Q1 (Poorest),66
Kazakhstan,1999,Q2,65.7
Kazakhstan,1999,Q3,65.9
Kazakhstan,1999,Q4,27.6
Kazakhstan,1999,Q5 (Richest),42.9
Kazakhstan,1999,,61.8
Kazakhstan,1999,,47.3
Kazakhstan,1999,,55.1
Kazakhstan,1999,,43.9
Kazakhstan,1999,,63.4
Kazakhstan,1995,,38.9
Kazakhstan,1995,,40.9
Kazakhstan,1995,,45.4
Kazakhstan,1995,,34.3
Kazakhstan,1995,,40.1
Kazakhstan,1995,Q1 (Poorest),37.1
Kazakhstan,1995,Q2,43.5
Kazakhstan,1995,Q3,33.9
Kazakhstan,1995,Q4,49.4
Kazakhstan,1995,Q5 (Richest),35.4
Kenya,2008,,64.5
Kenya,2008,,53.6
Kenya,2008,Q1 (Poorest),65.1
Kenya,2008,Q2,64.5
