Country or Area,Year(s),WEALTH QUINTILE,Value
Cameroon,2004,Q5 (Richest),70.5
Cameroon,2004,,244.5
Cameroon,2004,,171.2
Cameroon,2004,,78.8
Cameroon,1998,,173.6
Cameroon,1998,Q1 (Poorest),209
Cameroon,1998,Q2,198.5
Cameroon,1998,Q3,166.1
Cameroon,1998,Q4,109.4
Cameroon,1998,Q5 (Richest),64.4
Cameroon,1998,,237.8
Cameroon,1998,,155.2
Cameroon,1998,,85.7
Central African Republic,1994,,171.7
Central African Republic,1994,,160.3
Central African Republic,1994,,129.7
Central African Republic,1994,Q1 (Poorest),175.8
Central African Republic,1994,Q2,153.7
Central African Republic,1994,Q3,151.4
Central African Republic,1994,Q4,178.7
Central African Republic,1994,Q5 (Richest),138.8
Chad,2004,,213
Chad,2004,,184.3
Chad,2004,,92.4
Chad,2004,Q1 (Poorest),159.7
Chad,2004,Q2,215.6
Chad,2004,Q3,229.8
Chad,2004,Q4,201.1
Chad,2004,Q5 (Richest),160.6
Chad,2004,,164.4
Chad,1996,Q1 (Poorest),197.4
Chad,1996,Q2,182.7
Chad,1996,Q3,184
Chad,1996,Q4,208.8
Chad,1996,Q5 (Richest),204.2
Chad,1996,,206
Chad,1996,,181.2
Chad,1996,,107.5
Chad,1996,,195.2
Colombia,2010,Q1 (Poorest),146.7
Colombia,2010,Q2,115.9
Colombia,2010,Q3,80
Colombia,2010,Q4,58.7
Colombia,2010,Q5 (Richest),31.1
Colombia,2010,,261.5
Colombia,2010,,219.7
Colombia,2010,,70.6
Colombia,2005,,137.8
Colombia,2005,,205.8
Colombia,2005,,192.5
Colombia,2005,,72
Colombia,2005,Q1 (Poorest),164.3
Colombia,2005,Q2,121.2
Colombia,2005,Q3,98.5
Colombia,2005,Q4,61.5
Colombia,2005,Q5 (Richest),33.5
Colombia,2000,,149.4
Colombia,2000,,166.8
Colombia,2000,,62.3
Colombia,2000,,135.7
Colombia,2000,Q1 (Poorest),162
Colombia,2000,Q2,130.2
Colombia,2000,Q3,88.2
Colombia,2000,Q4,49.3
Colombia,2000,Q5 (Richest),33.6
Colombia,1995,,200.4
Colombia,1995,,167.7
Colombia,1995,,58.8
Colombia,1995,Q1 (Poorest),185.5
Colombia,1995,Q2,119.8
Colombia,1995,Q3,88.7
Colombia,1995,Q4,66.5
Colombia,1995,Q5 (Richest),33
Comoros,1996,,100.2
Comoros,1996,,65.9
Comoros,1996,,21
Comoros,1996,Q1 (Poorest),78.9
Comoros,1996,Q2,108.4
Comoros,1996,Q3,80.1
Comoros,1996,Q4,46.9
Comoros,1996,Q5 (Richest),27.4
Congo,2005,Q1 (Poorest),186.9
Congo,2005,Q2,160.9
Congo,2005,Q3,157.2
Congo,2005,Q4,102
Congo,2005,Q5 (Richest),63.8
Congo,2005,,189
Congo,2005,,171.1
Congo,2005,,102.8
Congo,2005,,101.5
Côte d’Ivoire,1998,,159.1
Côte d’Ivoire,1998,,127.5
Côte d’Ivoire,1998,,38.5
Côte d’Ivoire,1998,Q1 (Poorest),221.5
Côte d’Ivoire,1998,Q2,154.3
Côte d’Ivoire,1998,Q3,154.9
Côte d’Ivoire,1998,Q4,122.2
Côte d’Ivoire,1998,Q5 (Richest),56.6
Côte d’Ivoire,1994,,116.7
Côte d’Ivoire,1994,,177.3
Côte d’Ivoire,1994,,150.4
Côte d’Ivoire,1994,,79
Côte d’Ivoire,1994,Q1 (Poorest),199.9
Côte d’Ivoire,1994,Q2,195.4
Côte d’Ivoire,1994,Q3,171.4
Côte d’Ivoire,1994,Q4,146.6
Côte d’Ivoire,1994,Q5 (Richest),83.5
Democratic Republic of the Congo,2007,,175.4
Democratic Republic of the Congo,2007,,158.7
Democratic Republic of the Congo,2007,,81.2
Democratic Republic of the Congo,2007,Q1 (Poorest),155.6
Democratic Republic of the Congo,2007,Q2,159.1
Democratic Republic of the Congo,2007,Q3,144.5
Democratic Republic of the Congo,2007,Q4,145.1
Democratic Republic of the Congo,2007,Q5 (Richest),53.2
Dominican Republic,2007,Q1 (Poorest),178.6
Dominican Republic,2007,Q2,135.7
Dominican Republic,2007,Q3,95.9
Dominican Republic,2007,Q4,64.4
Dominican Republic,2007,Q5 (Richest),39
Dominican Republic,2007,,241.2
Dominican Republic,2007,,195.8
Dominican Republic,2007,,63
Dominican Republic,2002,Q1 (Poorest),209.2
Dominican Republic,2002,Q2,163.2
Dominican Republic,2002,Q3,126.6
Dominican Republic,2002,Q4,85.9
Dominican Republic,2002,Q5 (Richest),35.7
Dominican Republic,2002,,211.2
Dominican Republic,2002,,210.8
Dominican Republic,2002,,62.6
Dominican Republic,1999,,133.8
Dominican Republic,1999,,189.5
Dominican Republic,1999,,44
Dominican Republic,1999,Q1 (Poorest),172.9
Dominican Republic,1999,Q2,152.4
Dominican Republic,1999,Q3,103.3
Dominican Republic,1999,Q4,67.5
Dominican Republic,1999,Q5 (Richest),31.2
Dominican Republic,1996,,89.1
Dominican Republic,1996,Q1 (Poorest),236.9
Dominican Republic,1996,Q2,150.4
Dominican Republic,1996,Q3,126
Dominican Republic,1996,Q4,70.3
Dominican Republic,1996,Q5 (Richest),42.4
Dominican Republic,1996,,253.5
Dominican Republic,1996,,184.4
Dominican Republic,1996,,42.6
Ethiopia,2011,,163.8
Ethiopia,2011,,61.6
Ethiopia,2011,,17.2
Ethiopia,2011,,27.1
Ethiopia,2011,Q1 (Poorest),117.7
Ethiopia,2011,Q2,123
Ethiopia,2011,Q3,99.4
Ethiopia,2011,Q4,61.7
Ethiopia,2011,Q5 (Richest),33.1
Ethiopia,2005,,127.7
Ethiopia,2005,,155
Ethiopia,2005,,76.3
Ethiopia,2005,,16.9
Ethiopia,2005,Q1 (Poorest),143.2
Ethiopia,2005,Q2,130.6
Ethiopia,2005,Q3,128
Ethiopia,2005,Q4,116
Ethiopia,2005,Q5 (Richest),54.1
Ethiopia,2000,,130.4
Ethiopia,2000,,88.3
Ethiopia,2000,,39.8
Ethiopia,2000,,122.8
Ethiopia,2000,Q1 (Poorest),95.6
Ethiopia,2000,Q2,124.2
Ethiopia,2000,Q3,145.2
Ethiopia,2000,Q4,119.9
Ethiopia,2000,Q5 (Richest),74
Gabon,2000,Q1 (Poorest),209.4
Gabon,2000,Q2,187.7
Gabon,2000,Q3,149.4
Gabon,2000,Q4,133.3
Gabon,2000,Q5 (Richest),80
Gabon,2000,,170.4
Gabon,2000,,201.5
Gabon,2000,,117
Ghana,2008,,147.3
Ghana,2008,,130.6
Ghana,2008,,40.9
Ghana,2008,Q1 (Poorest),122.6
Ghana,2008,Q2,97
Ghana,2008,Q3,82.3
Ghana,2008,Q4,60.7
Ghana,2008,Q5 (Richest),13.1
Ghana,2003,,115.5
Ghana,2003,,114.6
Ghana,2003,,49.6
Ghana,2003,Q1 (Poorest),132.4
Ghana,2003,Q2,106.4
Ghana,2003,Q3,103.5
Ghana,2003,Q4,59.1
Ghana,2003,Q5 (Richest),20.6
Ghana,1998,,57.8
Ghana,1998,Q1 (Poorest),128.2
Ghana,1998,Q2,118.4
Ghana,1998,Q3,113.7
Ghana,1998,Q4,90.1
Ghana,1998,Q5 (Richest),27.3
Ghana,1998,,137.4
Ghana,1998,,112.2
Ghana,1998,,69.1
Ghana,1993,,82.9
Ghana,1993,Q1 (Poorest),153.6
Ghana,1993,Q2,145.6
Ghana,1993,Q3,142.1
Ghana,1993,Q4,115
Ghana,1993,Q5 (Richest),63.2
Ghana,1993,,178.9
Ghana,1993,,115.1
Ghana,1993,,26.6
Guatemala,1998,,218.2
Guatemala,1998,,145.3
Guatemala,1998,,45
Guatemala,1998,Q1 (Poorest),189.1
Guatemala,1998,Q2,174.2
Guatemala,1998,Q3,125.3
Guatemala,1998,Q4,120
Guatemala,1998,Q5 (Richest),43.9
Guatemala,1998,,145.5
Guatemala,1995,,212.8
Guatemala,1995,,145.7
Guatemala,1995,,47.2
Guatemala,1995,Q1 (Poorest),199.5
Guatemala,1995,Q2,178.9
Guatemala,1995,Q3,142.3
Guatemala,1995,Q4,104.6
Guatemala,1995,Q5 (Richest),52.8
Guatemala,1995,,151.7
Guinea,2005,,186.4
Guinea,2005,Q1 (Poorest),208.9
Guinea,2005,Q2,202.4
Guinea,2005,Q3,169.9
Guinea,2005,Q4,125
Guinea,2005,Q5 (Richest),98.3
Guinea,2005,,191.7
Guinea,2005,,121.4
Guinea,2005,,49
Guinea,1999,,196.8
Guinea,1999,,148.8
Guinea,1999,,54.8
Guinea,1999,Q1 (Poorest),208.5
Guinea,1999,Q2,218.1
Guinea,1999,Q3,215.5
Guinea,1999,Q4,171.2
Guinea,1999,Q5 (Richest),97.2
Guyana,2009,,49.6
Guyana,2009,,213.5
Guyana,2009,,87.2
Guyana,2009,Q1 (Poorest),221.9
Guyana,2009,Q2,111.8
Guyana,2009,Q3,104.2
Guyana,2009,Q4,46.8
Guyana,2009,Q5 (Richest),32.1
Haiti,2005,,136.7
Haiti,2005,,93.5
Haiti,2005,,37.6
Haiti,2005,Q1 (Poorest),105.4
Haiti,2005,Q2,80.1
Haiti,2005,Q3,81.9
Haiti,2005,Q4,69.8
Haiti,2005,Q5 (Richest),36.3
Haiti,2000,,167.8
Haiti,2000,,95.7
Haiti,2000,,37.4
Haiti,2000,,99.5
Haiti,2000,Q1 (Poorest),95.2
Haiti,2000,Q2,97
Haiti,2000,Q3,100.8
Haiti,2000,Q4,87.6
Haiti,2000,Q5 (Richest),47.4
Haiti,1994,,93.1
Haiti,1994,,146.3
Haiti,1994,,88
Haiti,1994,,31.7
Haiti,1994,Q1 (Poorest),105
Haiti,1994,Q2,115
Haiti,1994,Q3,88.5
Haiti,1994,Q4,91.2
Haiti,1994,Q5 (Richest),29.5
Honduras,2005,Q1 (Poorest),164.4
Honduras,2005,Q2,138.9
Honduras,2005,Q3,125.7
Honduras,2005,Q4,91.6
Honduras,2005,Q5 (Richest),50.6
Honduras,2005,,207
Honduras,2005,,152.8
Honduras,2005,,51.2
India,2005,,171.5
India,2005,,124.1
India,2005,,56.6
India,2005,Q1 (Poorest),149.5
India,2005,Q2,131
India,2005,Q3,106.2
India,2005,Q4,76.3
India,2005,Q5 (Richest),34.8
Kazakhstan,1999,,44.2
Kazakhstan,1999,Q1 (Poorest),54.6
Kazakhstan,1999,Q2,46.5
Kazakhstan,1999,Q3,41.5
Kazakhstan,1999,Q4,50.1
Kazakhstan,1999,Q5 (Richest),28.9
Kazakhstan,1995,,65.6
Kazakhstan,1995,Q1 (Poorest),114.1
Kazakhstan,1995,Q2,51.7
Kazakhstan,1995,Q3,87.4
Kazakhstan,1995,Q4,47.9
Kazakhstan,1995,Q5 (Richest),27.5
Kenya,2008,,225.8
Kenya,2008,,137.5
Kenya,2008,,44.9
Kenya,2008,Q1 (Poorest),171
Kenya,2008,Q2,120.6
Kenya,2008,Q3,93.6
Kenya,2008,Q4,102.2
Kenya,2008,Q5 (Richest),71.2
Kenya,2003,Q1 (Poorest),186.5
Kenya,2003,Q2,136.6
Kenya,2003,Q3,122.6
Kenya,2003,Q4,92.1
Kenya,2003,Q5 (Richest),81.8
Kenya,2003,,204.2
Kenya,2003,,139.1
Kenya,2003,,46.8
Kenya,1998,,82.6
Kenya,1998,Q1 (Poorest),169.8
Kenya,1998,Q2,138.2
Kenya,1998,Q3,112.9
Kenya,1998,Q4,103.9
Kenya,1998,Q5 (Richest),59.8
Kenya,1998,,176
Kenya,1998,,137.6
Kenya,1998,,50.8
Kenya,1993,,92
Kenya,1993,,159.8
Kenya,1993,,139.3
Kenya,1993,,63.9
Kenya,1993,Q1 (Poorest),161.2
Kenya,1993,Q2,126.6
Kenya,1993,Q3,119.8
Kenya,1993,Q4,123.2
Kenya,1993,Q5 (Richest),81.2
Kyrgyzstan,1997,Q1 (Poorest),126.9
Kyrgyzstan,1997,Q2,82.1
Kyrgyzstan,1997,Q3,77.3
Kyrgyzstan,1997,Q4,75
Kyrgyzstan,1997,Q5 (Richest),36.8
Kyrgyzstan,1997,,78.7
Lesotho,2009,Q1 (Poorest),134.8
Lesotho,2009,Q2,122.1
Lesotho,2009,Q3,95.8
Lesotho,2009,Q4,74.1
Lesotho,2009,Q5 (Richest),61.1
Lesotho,2009,,134.7
Lesotho,2009,,65.9
Lesotho,2004,,98.9
Lesotho,2004,Q1 (Poorest),137.8
Lesotho,2004,Q2,121.1
Lesotho,2004,Q3,99.8
Lesotho,2004,Q4,75.5
Lesotho,2004,Q5 (Richest),39.1
Lesotho,2004,,110.6
Lesotho,2004,,60.2
Liberia,2007,,202.4
Liberia,2007,,149.8
Liberia,2007,,71.4
Liberia,2007,Q1 (Poorest),186.2
Liberia,2007,Q2,206.1
Liberia,2007,Q3,146.4
Liberia,2007,Q4,123.4
Liberia,2007,Q5 (Richest),73.8
Madagascar,2008,,252.1
Madagascar,2008,,172.1
Madagascar,2008,,64.6
Madagascar,2008,Q1 (Poorest),232
Madagascar,2008,Q2,204.5
Madagascar,2008,Q3,154.4
Madagascar,2008,Q4,110.1
Madagascar,2008,Q5 (Richest),64.2
Madagascar,2003,,215.8
Madagascar,2003,,172
Madagascar,2003,,56.8
Madagascar,2003,Q1 (Poorest),209.1
Madagascar,2003,Q2,213.5
Madagascar,2003,Q3,169.7
Madagascar,2003,Q4,127.8
Madagascar,2003,Q5 (Richest),65.5
Madagascar,1997,,230.7
Madagascar,1997,,183.1
Madagascar,1997,,104.4
Madagascar,1997,Q1 (Poorest),257.4
Madagascar,1997,Q2,215.1
Madagascar,1997,Q3,193.1
Madagascar,1997,Q4,138.6
Madagascar,1997,Q5 (Richest),72.8
Malawi,2010,,244.3
Malawi,2010,,184.2
Malawi,2010,,77.4
Malawi,2010,Q1 (Poorest),186.3
Malawi,2010,Q2,193.6
Malawi,2010,Q3,178.3
Malawi,2010,Q4,154.2
Malawi,2010,Q5 (Richest),90.1
Malawi,2010,,167.4
Malawi,2004,,229.8
Malawi,2004,,182.8
Malawi,2004,,70.1
Malawi,2004,Q1 (Poorest),185.6
Malawi,2004,Q2,194.9
Malawi,2004,Q3,186.2
Malawi,2004,Q4,149.2
Malawi,2004,Q5 (Richest),97.2
Malawi,2000,,222.9
Malawi,2000,,171.8
Malawi,2000,,68.6
Malawi,2000,,169.1
Malawi,2000,Q1 (Poorest),174.1
Malawi,2000,Q2,159.3
Malawi,2000,Q3,162.9
Malawi,2000,Q4,162.9
Malawi,2000,Q5 (Richest),146.3
Mali,2006,,142.3
Mali,2006,,219.2
Mali,2006,,188.2
Mali,2006,,70.6
Mali,2006,Q1 (Poorest),222.9
Mali,2006,Q2,214.2
Mali,2006,Q3,229.2
Mali,2006,Q4,196.3
Mali,2006,Q5 (Richest),129.6
Mali,2001,,215
Mali,2001,,179.9
Mali,2001,,57
Mali,2001,Q1 (Poorest),214.9
Mali,2001,Q2,247.6
Mali,2001,Q3,226.1
Mali,2001,Q4,210.4
Mali,2001,Q5 (Richest),114.1
Mali,1995,Q1 (Poorest),219.7
Mali,1995,Q2,223.1
Mali,1995,Q3,221.9
Mali,1995,Q4,222.5
Mali,1995,Q5 (Richest),130.6
Mali,1995,,215.6
Mali,1995,,180.7
Mali,1995,,68.6
Morocco,2003,Q1 (Poorest),55.6
Morocco,2003,Q2,41.7
Morocco,2003,Q3,40.6
Morocco,2003,Q4,25
Morocco,2003,Q5 (Richest),15.3
Morocco,2003,,61.5
Morocco,2003,,36.8
Morocco,2003,,11.2
Morocco,2003,,26.5
Mozambique,2003,,227.6
Mozambique,2003,,189.2
Mozambique,2003,,58.2
Mozambique,2003,Q1 (Poorest),229.8
Mozambique,2003,Q2,203.6
Mozambique,2003,Q3,215.5
Mozambique,2003,Q4,182.9
Mozambique,2003,Q5 (Richest),124
Mozambique,1997,,174.6
Mozambique,1997,Q1 (Poorest),191.9
Mozambique,1997,Q2,172.7
Mozambique,1997,Q3,166.3
Mozambique,1997,Q4,193.9
Mozambique,1997,Q5 (Richest),139.2
Mozambique,1997,,188.3
Mozambique,1997,,175
Mozambique,1997,,59
Namibia,2006,Q1 (Poorest),103.9
Namibia,2006,Q2,84.1
Namibia,2006,Q3,98.9
Namibia,2006,Q4,63
Namibia,2006,Q5 (Richest),32.7
Namibia,2006,,193.2
Namibia,2006,,139
Namibia,2006,,55.4
Namibia,2006,,55
Namibia,2000,Q1 (Poorest),89.8
Namibia,2000,Q2,99.6
Namibia,2000,Q3,99.4
Namibia,2000,Q4,85.8
Namibia,2000,Q5 (Richest),66.9
Namibia,2000,,177.7
Namibia,2000,,123.4
Namibia,2000,,67.2
Nepal,2011,,176.1
Nepal,2011,,129.7
Nepal,2011,,49.5
Nepal,2011,Q1 (Poorest),103.1
Nepal,2011,Q2,105.3
Nepal,2011,Q3,95.3
Nepal,2011,Q4,72.1
Nepal,2011,Q5 (Richest),31.5
Nepal,2006,,179.4
Nepal,2006,,122.4
Nepal,2006,,57.2
Nepal,2006,Q1 (Poorest),115.9
Nepal,2006,Q2,134
Nepal,2006,Q3,112.9
Nepal,2006,Q4,100.1
Nepal,2006,Q5 (Richest),73.1
Nicaragua,2001,,157.8
Nicaragua,2001,Q1 (Poorest),199.3
Nicaragua,2001,Q2,158.6
Nicaragua,2001,Q3,123.1
Nicaragua,2001,Q4,89.7
Nicaragua,2001,Q5 (Richest),62.6
Nicaragua,2001,,222.1
Nicaragua,2001,,173.1
Nicaragua,2001,,69.2
Nicaragua,1997,,181.2
Nicaragua,1997,,260
Nicaragua,1997,,194.4
Nicaragua,1997,,75.6
Nicaragua,1997,Q1 (Poorest),225
Nicaragua,1997,Q2,187.1
Nicaragua,1997,Q3,154.2
Nicaragua,1997,Q4,104.6
Nicaragua,1997,Q5 (Richest),59.4
Niger,2006,Q1 (Poorest),224.1
Niger,2006,Q2,218.9
Niger,2006,Q3,219.7
Niger,2006,Q4,222.8
Niger,2006,Q5 (Richest),126.8
Niger,2006,,222.1
Niger,2006,,156.8
Niger,2006,,43.9
Niger,1998,,237.6
Niger,1998,,173.5
Niger,1998,,64.2
Niger,1998,Q1 (Poorest),257.3
Niger,1998,Q2,233.1
Niger,1998,Q3,227
Niger,1998,Q4,244.5
Niger,1998,Q5 (Richest),142
Niger,1998,,242
Nigeria,2008,,245.3
Nigeria,2008,,175.1
Nigeria,2008,,45.6
Nigeria,2008,Q1 (Poorest),205.3
Nigeria,2008,Q2,184.5
Nigeria,2008,Q3,128.5
Nigeria,2008,Q4,82.8
Nigeria,2008,Q5 (Richest),34.1
Nigeria,2003,,84.7
Nigeria,2003,,233.7
Nigeria,2003,,151.4
Nigeria,2003,,46.2
Nigeria,2003,Q1 (Poorest),191.5
Nigeria,2003,Q2,166.4
Nigeria,2003,Q3,146.7
Nigeria,2003,Q4,101.4
Nigeria,2003,Q5 (Richest),50.6
Nigeria,1999,,222
Nigeria,1999,,114.8
Nigeria,1999,,36.7
Peru,2004,Q1 (Poorest),161.3
Peru,2004,Q2,104.8
Peru,2004,Q3,76.8
Peru,2004,Q4,44
Peru,2004,Q5 (Richest),19.9
Peru,2004,,187
Peru,2004,,151
Peru,2004,,47.6
Peru,2000,,154.8
Peru,2000,,147.1
Peru,2000,,48.9
Peru,2000,,123.8
Peru,2000,Q1 (Poorest),164.7
Peru,2000,Q2,106.7
Peru,2000,Q3,64.5
Peru,2000,Q4,42.5
Peru,2000,Q5 (Richest),23.5
Peru,1996,,141.1
Peru,1996,,185.6
Peru,1996,,163.8
Peru,1996,,51.5
Peru,1996,Q1 (Poorest),168.6
Peru,1996,Q2,125
Peru,1996,Q3,78.1
Peru,1996,Q4,47.2
Peru,1996,Q5 (Richest),20.7
Philippines,2008,Q1 (Poorest),117.4
Philippines,2008,Q2,79.2
Philippines,2008,Q3,49.5
Philippines,2008,Q4,39.5
Philippines,2008,Q5 (Richest),20.5
Philippines,2008,,161.9
Philippines,2008,,116.6
Philippines,2008,,44.2
Philippines,2008,,69.6
Philippines,2003,Q1 (Poorest),132.9
Philippines,2003,Q2,84.6
Philippines,2003,Q3,54.8
Philippines,2003,Q4,32.6
Philippines,2003,Q5 (Richest),20.2
Philippines,2003,,114.6
Philippines,2003,,130.5
Philippines,2003,,43.1
Philippines,2003,,79.4
Philippines,1998,Q1 (Poorest),137.8
Philippines,1998,Q2,88.9
Philippines,1998,Q3,37.5
Philippines,1998,Q4,32.8
Philippines,1998,Q5 (Richest),13.9
Philippines,1998,,84.2
Philippines,1998,,119.1
Philippines,1998,,37
Philippines,1993,,37.3
Philippines,1993,,120.8
Philippines,1993,,111.1
Philippines,1993,,37.1
Republic of Moldova,2005,,33.8
Republic of Moldova,2005,Q1 (Poorest),52.1
Republic of Moldova,2005,Q2,65.8
Republic of Moldova,2005,Q3,42
Republic of Moldova,2005,Q4,14.1
Republic of Moldova,2005,Q5 (Richest),14.9
Rwanda,2010,,116
Rwanda,2010,,45.2
Rwanda,2010,,18.6
Rwanda,2010,Q1 (Poorest),69.4
Rwanda,2010,Q2,43
Rwanda,2010,Q3,32.9
Rwanda,2010,Q4,41.5
Rwanda,2010,Q5 (Richest),26.8
Rwanda,2010,,40
Rwanda,2005,Q1 (Poorest),49.8
Rwanda,2005,Q2,45.9
Rwanda,2005,Q3,48.1
Rwanda,2005,Q4,45.7
Rwanda,2005,Q5 (Richest),33.6
Rwanda,2005,,94.1
Rwanda,2005,,38.4
Rwanda,2005,,20.9
Rwanda,2000,,62.8
Rwanda,2000,,86.7
Rwanda,2000,,56.5
Rwanda,2000,,43.3
Rwanda,2000,Q1 (Poorest),63.1
Rwanda,2000,Q2,60.8
Rwanda,2000,Q3,63.7
Rwanda,2000,Q4,60.2
Rwanda,2000,Q5 (Richest),55.8
Sao Tome and Principe,2008,,148.1
Sao Tome and Principe,2008,,171.9
Sao Tome and Principe,2008,,55.4
Sao Tome and Principe,2008,Q1 (Poorest),180.2
Sao Tome and Principe,2008,Q2,139
Sao Tome and Principe,2008,Q3,133.8
Sao Tome and Principe,2008,Q4,92.7
Sao Tome and Principe,2008,Q5 (Richest),37.7
Senegal,2010,Q1 (Poorest),179.8
Senegal,2010,Q2,114.5
Senegal,2010,Q3,76.9
Senegal,2010,Q4,75.2
Senegal,2010,Q5 (Richest),45.5
Senegal,2010,,142.6
Senegal,2010,,91.8
Senegal,2010,,26.3
