Country,decade,quintile,Average
Haiti,1990s,,0.3079301
Haiti,1990s,Q1 (Poorest),0.090038046
Haiti,1990s,Q2,0.0986131
Haiti,1990s,Q3,0.07588921
Haiti,1990s,Q4,0.078204475
Haiti,1990s,Q5 (Richest),0.025296403
Haiti,2000s,,0.572985
Haiti,2000s,Q1 (Poorest),0.17201555
Haiti,2000s,Q2,0.15186417
Haiti,2000s,Q3,0.15666622
Haiti,2000s,Q4,0.1349713
Haiti,2000s,Q5 (Richest),0.07177319
Honduras,2000s,,0.35243464
Honduras,2000s,Q1 (Poorest),0.14097385
Honduras,2000s,Q2,0.11910746
Honduras,2000s,Q3,0.10778841
Honduras,2000s,Q4,0.07854748
Honduras,2000s,Q5 (Richest),0.043389764
India,2000s,,0.30201334
India,2000s,Q1 (Poorest),0.12819703
India,2000s,Q2,0.112333186
India,2000s,Q3,0.09106705
India,2000s,Q4,0.06542765
India,2000s,Q5 (Richest),0.02984118
Kazakhstan,1990s,,0.094154075
Kazakhstan,1990s,Q1 (Poorest),0.14466113
Kazakhstan,1990s,Q2,0.08420701
Kazakhstan,1990s,Q3,0.11053241
Kazakhstan,1990s,Q4,0.08403551
Kazakhstan,1990s,Q5 (Richest),0.048363294
Kenya,1990s,,0.7734696
Kenya,1990s,Q1 (Poorest),0.28383422
Kenya,1990s,Q2,0.22706737
Kenya,1990s,Q3,0.19954148
Kenya,1990s,Q4,0.19473943
Kenya,1990s,Q5 (Richest),0.12090824
Kenya,2000s,,0.6845464
Kenya,2000s,Q1 (Poorest),0.3065581
Kenya,2000s,Q2,0.22055036
Kenya,2000s,Q3,0.18539263
Kenya,2000s,Q4,0.16661325
Kenya,2000s,Q5 (Richest),0.1311983
Kyrgyzstan,1990s,,0.06748565
Kyrgyzstan,1990s,Q1 (Poorest),0.10881741
Kyrgyzstan,1990s,Q2,0.07040118
Kyrgyzstan,1990s,Q3,0.066285156
Kyrgyzstan,1990s,Q4,0.06431289
Kyrgyzstan,1990s,Q5 (Richest),0.031556193
Lesotho,2000s,,0.4032847
Lesotho,2000s,Q1 (Poorest),0.23375592
Lesotho,2000s,Q2,0.20854527
Lesotho,2000s,Q3,0.16772802
Lesotho,2000s,Q4,0.12828279
Lesotho,2000s,Q5 (Richest),0.085922025
Liberia,2000s,,0.3632392
Liberia,2000s,Q1 (Poorest),0.15966748
Liberia,2000s,Q2,0.17673182
Liberia,2000s,Q3,0.12553875
Liberia,2000s,Q4,0.10581614
Liberia,2000s,Q5 (Richest),0.06328389
Madagascar,1990s,,0.4443592
Madagascar,1990s,Q1 (Poorest),0.22072184
Madagascar,1990s,Q2,0.18444937
Madagascar,1990s,Q3,0.16558425
Madagascar,1990s,Q4,0.11885023
Madagascar,1990s,Q5 (Richest),0.062426385
Madagascar,2000s,,0.80039537
Madagascar,2000s,Q1 (Poorest),0.37824556
Madagascar,2000s,Q2,0.35843718
Madagascar,2000s,Q3,0.27791741
Madagascar,2000s,Q4,0.20400049
Madagascar,2000s,Q5 (Richest),0.11121842
Malawi,2000s,,0.95620406
Malawi,2000s,Q1 (Poorest),0.30844462
Malawi,2000s,Q2,0.30372834
Malawi,2000s,Q3,0.29935503
Malawi,2000s,Q4,0.26762736
Malawi,2000s,Q5 (Richest),0.20880252
Malawi,2010s,,0.5773583
Malawi,2010s,Q1 (Poorest),0.15975322
Malawi,2010s,Q2,0.166013
Malawi,2010s,Q3,0.15289319
Malawi,2010s,Q4,0.1322273
Malawi,2010s,Q5 (Richest),0.07726122
Mali,1990s,,0.3986542
Mali,1990s,Q1 (Poorest),0.18839389
Mali,1990s,Q2,0.1913094
Mali,1990s,Q3,0.19028041
Mali,1990s,Q4,0.19079491
Mali,1990s,Q5 (Richest),0.11199019
Mali,2000s,,0.919417
Mali,2000s,Q1 (Poorest),0.37541577
Mali,2000s,Q2,0.39599591
Mali,2000s,Q3,0.39042214
Mali,2000s,Q4,0.34874737
Mali,2000s,Q5 (Richest),0.20897403
Morocco,2000s,,0.11662071
Morocco,2000s,Q1 (Poorest),0.04767729
Morocco,2000s,Q2,0.035757966
Morocco,2000s,Q3,0.034814708
Morocco,2000s,Q4,0.02143763
Morocco,2000s,Q5 (Richest),0.01311983
Mozambique,1990s,,0.5118449
Mozambique,1990s,Q1 (Poorest),0.16455525
Mozambique,1990s,Q2,0.14809115
Mozambique,1990s,Q3,0.14260311
Mozambique,1990s,Q4,0.16627026
Mozambique,1990s,Q5 (Richest),0.11936472
Mozambique,2000s,,0.407315
Mozambique,2000s,Q1 (Poorest),0.1970547
Mozambique,2000s,Q2,0.17458805
Mozambique,2000s,Q3,0.18479237
Mozambique,2000s,Q4,0.1568377
Mozambique,2000s,Q5 (Richest),0.10633065
Namibia,2000s,,0.695351
Namibia,2000s,Q1 (Poorest),0.16609877
Namibia,2000s,Q2,0.1575237
Namibia,2000s,Q3,0.17004329
Namibia,2000s,Q4,0.12759678
Namibia,2000s,Q5 (Richest),0.085407525
Nepal,2000s,,0.30784437
Nepal,2000s,Q1 (Poorest),0.09938485
Nepal,2000s,Q2,0.1149057
Nepal,2000s,Q3,0.09681234
Nepal,2000s,Q4,0.08583627
Nepal,2000s,Q5 (Richest),0.062683634
Nepal,2010s,,0.30467162
Nepal,2010s,Q1 (Poorest),0.08840879
Nepal,2010s,Q2,0.0902953
Nepal,2010s,Q3,0.08172025
Nepal,2010s,Q4,0.061826125
Nepal,2010s,Q5 (Richest),0.027011415
Nicaragua,1990s,,0.6098576
Nicaragua,1990s,Q1 (Poorest),0.19293867
Nicaragua,1990s,Q2,0.16043922
Nicaragua,1990s,Q3,0.1322273
Nicaragua,1990s,Q4,0.089695044
Nicaragua,1990s,Q5 (Richest),0.05093581
Nicaragua,2000s,,0.5335397
Nicaragua,2000s,Q1 (Poorest),0.17090079
Nicaragua,2000s,Q2,0.13600034
Nicaragua,2000s,Q3,0.105558895
Nicaragua,2000s,Q4,0.076918215
Nicaragua,2000s,Q5 (Richest),0.053679828
Niger,1990s,,0.61508846
Niger,1990s,Q1 (Poorest),0.22063607
Niger,1990s,Q2,0.19988446
Niger,1990s,Q3,0.19465369
Niger,1990s,Q4,0.20966002
Niger,1990s,Q5 (Richest),0.12176574
Niger,2000s,,0.3625532
Niger,2000s,Q1 (Poorest),0.19216692
Niger,2000s,Q2,0.18770789
Niger,2000s,Q3,0.18839389
Niger,2000s,Q4,0.19105215
Niger,2000s,Q5 (Richest),0.10873166
Nigeria,1990s,,0.3202782
Nigeria,2000s,,0.8420701
Nigeria,2000s,Q1 (Poorest),0.34025806
Nigeria,2000s,Q2,0.30089858
Nigeria,2000s,Q3,0.23598546
Nigeria,2000s,Q4,0.15795247
Nigeria,2000s,Q5 (Richest),0.07263069
Peru,1990s,,0.4647678
Peru,1990s,Q1 (Poorest),0.14457537
Peru,1990s,Q2,0.10718815
Peru,1990s,Q3,0.06697116
Peru,1990s,Q4,0.040474247
Peru,1990s,Q5 (Richest),0.017750358
Peru,2000s,,0.7376259
Peru,2000s,Q1 (Poorest),0.2795467
Peru,2000s,Q2,0.18136235
Peru,2000s,Q3,0.121165484
Peru,2000s,Q4,0.0741742
Peru,2000s,Q5 (Richest),0.037215725
Philippines,1990s,,0.4687124
Philippines,1990s,Q1 (Poorest),0.11816422
Philippines,1990s,Q2,0.07623221
Philippines,1990s,Q3,0.032156445
Philippines,1990s,Q4,0.02812617
Philippines,1990s,Q5 (Richest),0.011919322
Philippines,2000s,,0.6516182
Philippines,2000s,Q1 (Poorest),0.21463354
Philippines,2000s,Q2,0.14045934
Philippines,2000s,Q3,0.08943779
Philippines,2000s,Q4,0.061826125
Philippines,2000s,Q5 (Richest),0.03490046
Republic of Moldova,2000s,,0.028983677
Republic of Moldova,2000s,Q1 (Poorest),0.04467602
Republic of Moldova,2000s,Q2,0.056423847
Republic of Moldova,2000s,Q3,0.03601522
Republic of Moldova,2000s,Q4,0.012090824
Republic of Moldova,2000s,Q5 (Richest),0.012776827
Rwanda,2000s,,0.3453173
Rwanda,2000s,Q1 (Poorest),0.09681233
Rwanda,2000s,Q2,0.091495804
Rwanda,2000s,Q3,0.09586908
Rwanda,2000s,Q4,0.0908098
Rwanda,2000s,Q5 (Richest),0.07666096
Rwanda,2010s,,0.18847965
Rwanda,2010s,Q1 (Poorest),0.05951086
Rwanda,2010s,Q2,0.036872722
Rwanda,2010s,Q3,0.028211923
Rwanda,2010s,Q4,0.035586465
Rwanda,2010s,Q5 (Richest),0.022981139
Sao Tome and Principe,2000s,,0.32190746
Sao Tome and Principe,2000s,Q1 (Poorest),0.15452243
Sao Tome and Principe,2000s,Q2,0.119193226
Sao Tome and Principe,2000s,Q3,0.114734195
Sao Tome and Principe,2000s,Q4,0.079490736
Sao Tome and Principe,2000s,Q5 (Richest),0.032327946
Senegal,1990s,,0.21120353
Senegal,1990s,Q1 (Poorest),0.15872422
Senegal,1990s,Q2,0.12725377
Senegal,1990s,Q3,0.0998136
Senegal,1990s,Q4,0.07520321
Senegal,1990s,Q5 (Richest),0.030698687
Senegal,2000s,,0.25365007
Senegal,2000s,Q1 (Poorest),0.14431813
Senegal,2000s,Q2,0.13197005
Senegal,2000s,Q3,0.09586908
Senegal,2000s,Q4,0.056681093
Senegal,2000s,Q5 (Richest),0.031813443
Senegal,2010s,,0.22355163
Senegal,2010s,Q1 (Poorest),0.15417944
Senegal,2010s,Q2,0.09818435
Senegal,2010s,Q3,0.06594215
Senegal,2010s,Q4,0.06448439
Senegal,2010s,Q5 (Richest),0.03901649
Sierra Leone,2000s,,0.43089637
Sierra Leone,2000s,Q1 (Poorest),0.16558425
Sierra Leone,2000s,Q2,0.15152118
Sierra Leone,2000s,Q3,0.15255018
Sierra Leone,2000s,Q4,0.11799273
Sierra Leone,2000s,Q5 (Richest),0.0649989
South Africa,1990s,,0.3228507
South Africa,1990s,Q1 (Poorest),0.094668575
South Africa,1990s,Q2,0.086436525
South Africa,1990s,Q3,0.06379839
South Africa,1990s,Q4,0.05608084
South Africa,1990s,Q5 (Richest),0.025382154
Swaziland,2000s,,0.3896504
Swaziland,2000s,Q1 (Poorest),0.13068378
Swaziland,2000s,Q2,0.119193226
Swaziland,2000s,Q3,0.08883754
Swaziland,2000s,Q4,0.07408845
Swaziland,2000s,Q5 (Richest),0.07803298
Timor-Leste,2000s,,0.23504218
Timor-Leste,2000s,Q1 (Poorest),0.053679828
Timor-Leste,2000s,Q2,0.049735304
Timor-Leste,2000s,Q3,0.060539868
Timor-Leste,2000s,Q4,0.043561265
Timor-Leste,2000s,Q5 (Richest),0.030355686
Togo,1990s,,0.3145329
Togo,1990s,Q1 (Poorest),0.12631051
Togo,1990s,Q2,0.114391185
Togo,1990s,Q3,0.094154075
Togo,1990s,Q4,0.06371264
Togo,1990s,Q5 (Richest),0.03112744
Uganda,1990s,,0.47720164
Uganda,1990s,Q1 (Poorest),0.19371043
Uganda,1990s,Q2,0.17004329
Uganda,1990s,Q3,0.18539263
Uganda,1990s,Q4,0.17038628
Uganda,1990s,Q5 (Richest),0.13514283
Uganda,2000s,,1.0629635
Uganda,2000s,Q1 (Poorest),0.19559693
Uganda,2000s,Q2,0.16858552
Uganda,2000s,Q3,0.13908735
Uganda,2000s,Q4,0.12982628
Uganda,2000s,Q5 (Richest),0.08026249
Ukraine,2000s,,0.024181647
Ukraine,2000s,Q1 (Poorest),0.04133175
Ukraine,2000s,Q2,0.03104169
Ukraine,2000s,Q3,0.020151373
Ukraine,2000s,Q4,0.017407354
Ukraine,2000s,Q5 (Richest),0.020151373
United Republic of Tanzania,1990s,,0.5747
United Republic of Tanzania,1990s,Q1 (Poorest),0.2963538
United Republic of Tanzania,1990s,Q2,0.2420737
United Republic of Tanzania,1990s,Q3,0.2520208
United Republic of Tanzania,1990s,Q4,0.24567524
United Republic of Tanzania,1990s,Q5 (Richest),0.15323618
United Republic of Tanzania,2000s,,0.3887071
United Republic of Tanzania,2000s,Q1 (Poorest),0.15846696
United Republic of Tanzania,2000s,Q2,0.14251737
United Republic of Tanzania,2000s,Q3,0.14217436
United Republic of Tanzania,2000s,Q4,0.11627772
United Republic of Tanzania,2000s,Q5 (Richest),0.066285156
United Republic of Tanzania,2010s,,0.35783693
United Republic of Tanzania,2010s,Q1 (Poorest),0.15126392
United Republic of Tanzania,2010s,Q2,0.14526138
United Republic of Tanzania,2010s,Q3,0.124767005
United Republic of Tanzania,2010s,Q4,0.10341513
United Republic of Tanzania,2010s,Q5 (Richest),0.05848185
Uzbekistan,1990s,,0.048020292
Uzbekistan,1990s,Q1 (Poorest),0.045619275
Uzbekistan,1990s,Q2,0.045619275
Uzbekistan,1990s,Q3,0.05573784
Uzbekistan,1990s,Q4,0.05265082
Uzbekistan,1990s,Q5 (Richest),0.03798748
Zambia,1990s,,0.5476028
Zambia,1990s,Q1 (Poorest),0.1739878
Zambia,1990s,Q2,0.1341138
Zambia,1990s,Q3,0.14560439
Zambia,1990s,Q4,0.13342781
Zambia,1990s,Q5 (Richest),0.087808535
Zambia,2000s,,0.88391644
Zambia,2000s,Q1 (Poorest),0.36752674
Zambia,2000s,Q2,0.33159727
Zambia,2000s,Q3,0.31796294
Zambia,2000s,Q4,0.26445463
Zambia,2000s,Q5 (Richest),0.13437107
Zimbabwe,1990s,,0.7672098
Zimbabwe,1990s,Q1 (Poorest),0.25545081
Zimbabwe,1990s,Q2,0.21986434
Zimbabwe,1990s,Q3,0.166013
Zimbabwe,1990s,Q4,0.19662593
Zimbabwe,1990s,Q5 (Richest),0.11833572
Zimbabwe,2000s,,0.2067445
Zimbabwe,2000s,Q1 (Poorest),0.13265605
Zimbabwe,2000s,Q2,0.11001792
Zimbabwe,2000s,Q3,0.09106705
Zimbabwe,2000s,Q4,0.09621208
Zimbabwe,2000s,Q5 (Richest),0.04064575
Zimbabwe,2010s,,0.36503997
Zimbabwe,2010s,Q1 (Poorest),0.15126392
Zimbabwe,2010s,Q2,0.118764475
Zimbabwe,2010s,Q3,0.12262324
Zimbabwe,2010s,Q4,0.09484008
Zimbabwe,2010s,Q5 (Richest),0.041760504
